abstract_text,target_text,generated_text
"Background Men who have sex with men (MSM) experience significant inequalities in health and well-being. They are the group in the UK at the highest risk of acquiring a human immunodeficiency virus (HIV) infection. Guidance relating to both HIV infection prevention, in general, and individual-level behaviour change interventions, in particular, is very limited. Objectives To conduct an evidence synthesis of the clinical effectiveness of behaviour change interventions to reduce risky sexual behaviour among MSM after a negative HIV infection test. To identify effective components within interventions in reducing HIV risk-related behaviours and develop a candidate intervention. To host expert events addressing the implementation and optimisation of a candidate intervention. Data sources All major electronic databases (British Education Index, BioMed Central, Cumulative Index to Nursing and Allied Health Literature, EMBASE, Educational Resource Index and Abstracts, Health and Medical Complete, MEDLINE, PsycARTICLES, PsycINFO, PubMed and Social Science Citation Index) were searched between January 2000 and December 2014. Review methods A systematic review of the clinical effectiveness of individual behaviour change interventions was conducted. Interventions were examined using the behaviour change technique (BCT) taxonomy, theory coding assessment, mode of delivery and proximity to HIV infection testing. Data were summarised in narrative review and, when appropriate, meta-analysis was carried out. Supplemental analyses for the development of the candidate intervention focused on post hoc realist review method, the assessment of the sequential delivery and content of intervention components, and the social and historical context of primary studies. Expert panels reviewed the candidate intervention for issues of implementation and optimisation. Results Overall, trials included in this review (n = 10) demonstrated that individual-level behaviour change interventions are effective in reducing key HIV infection risk-related behaviours. However, there was considerable clinical and methodological heterogeneity among the trials. Exploratory meta-analysis showed a statistically significant reduction in behaviours associated with high risk of HIV transmission (risk ratio 0. 75, 95% confidence interval 0. 62 to 0. 91) . Additional stratified analyses suggested that effectiveness may be enhanced through face-to-face contact immediately after testing, and that theory-based content and BCTs drawn from 'goals and planning' and 'identity' groups are important. All evidence collated in the review was synthesised to develop a candidate intervention. Experts highlighted overall acceptability of the intervention and outlined key ways that the candidate intervention could be optimised to enhance UK implementation. Limitations There was a limited number of primary studies. All were from outside the UK and were subject to considerable clinical, methodological and statistical heterogeneity. The findings of the meta-analysis must therefore be treated with caution. The lack of detailed intervention manuals limited the assessment of intervention content, delivery and fidelity. Conclusions Evidence regarding the effectiveness of behaviour change interventions suggests that they are effective in changing behaviour associated with HIV transmission. Exploratory stratified meta-analyses suggested that interventions should be delivered face to face and immediately after testing. There are uncertainties around the generalisability of these findings to the UK setting. However, UK experts found the intervention acceptable and provided ways of optimising the candidate intervention. Future work There is a need for well-designed, UK-based trials of individual behaviour change interventions that clearly articulate intervention content and demonstrate intervention fidelity.","The problemThere is a lack of guidance regarding human immunodeficiency virus ( HIV) infection prevention in the UK. When guidance does exist, it is quite general. It does not provide detail about particular interventions that can change risky sexual behaviour among men who have sex with men ( MSM) . How we addressed the problemWe looked at published scientific studies that described interventions for MSM and were designed to change sexual risk-related behaviour ( e. g. increase condom use) after receiving a negative result from a HIV infection test. We wanted to know if these behaviour change interventions actually worked. We also wanted to know how they worked and why. What we foundWe found that these interventions improved sexual risk-related behaviour. It was more difficult to understand how and why they worked, but it was possible to set out the key components of these interventions. These key components included delivering interventions face to face immediately after HIV infection testing, supporting men in thinking through the consequences of their behaviour and identifying their future sexual health goals and encouraging them to identify solutions to the problems they perceive in realising these goals. Is it possible to implement such an intervention in the UK? We consulted experts who work in sexual health in the UK. Overall, they thought that the intervention we developed was acceptable and that it could help them. Although the findings of the report are very useful, they are based on rather old studies that were conducted outside the UK. We believe that UK research is needed to make sure that behaviour change interventions are as effective and relevant as they can be.","background Men who have sex with men (MSM) experience significant inequalities in health and well-being . they are the group in the UK at the highest risk of acquiring a human immunodeficiency virus (HIV) infection . Guidance relating to both HIV infection prevention, in general, and individual-level behaviour change interventions, in particular, is very limited . Objectives To conduct an evidence synthesis of the clinical effectiveness of behaviour change intervention to reduce risky sexual behaviour among MSM after a negative HIV infection test . to identify effective components within interventions in reducing HIV risk-related behaviours and develop a candidate intervention . a systematic review of"
"Desmosomes and adherens junctions are intercellular adhesive structures essential for the development and integrity of vertebrate tissue, including the epidermis and heart. Their cell adhesion molecules are cadherins: type 1 cadherins in adherens junctions and desmosomal cadherins in desmosomes. A fundamental difference is that desmosomes have a highly ordered structure in their extracellular region and exhibit calcium-independent hyperadhesion, whereas adherens junctions appear to lack such ordered arrays, and their adhesion is always calcium-dependent. We present here the structure of the entire ectodomain of desmosomal cadherin desmoglein 2 (Dsg2) , using a combination of small-angle X-ray scattering, electron microscopy, and solution-based biophysical techniques. This structure reveals that the ectodomain of Dsg2 is flexible even in the calcium-bound state and, on average, is shorter than the type 1 cadherin crystal structures. The Dsg2 structure has an excellent fit with the electron tomography reconstructions of human desmosomes. This fit suggests an arrangement in which desmosomal cadherins form trans interactions but are too far apart to interact in cis, in agreement with previously reported observations. Cadherin flexibility may be key to explaining the plasticity of desmosomes that maintain tissue integrity in their hyperadhesive form, but can adopt a weaker, calcium-dependent adhesion during wound healing and early development.","Significance We present here an entirely novel concept in the field of cell-cell adhesion, whereby the flexibility of the extracellular domains of cadherin molecules determines the characteristics and behavior of intercellular junctions. The structure of the ectodomain of the desmosomal cadherin desmoglein 2 shows it is flexible in its calcium-bound form. This flexibility of the desmosomal cadherin ectodomains may be key in facilitating a unique property of desmosomes: the ability to switch from strong calcium-independent hyperadhesion in adult tissues to weaker calcium-dependent adhesion in wounds.","desmosomes and adherens junctions are intercellular adhesive structures essential for the development and integrity of vertebrate tissue , including the epidermis and heart . their cell adhesion molecules are cadherins and desmosomal cdsg2 ( desmoglein 2 ) , which exhibit calcium-independent hyperadhesion . a fundamental difference is that lesmosomas have a highly ordered structure in their extracellular region and exhibit calcium - independent cis . the ectodomain of Dsg2, using a combination of small-angle X-ray scattering, electron microscopy"
"The Drosophila circadian oscillator controls daily rhythms in physiology, metabolism and behavior via transcriptional feedback loops. CLOCK-CYCLE (CLK-CYC) heterodimers initiate feedback loop function by binding E-box elements to activate per and tim transcription. PER-TIM heterodimers then accumulate, bind CLK-CYC to inhibit transcription, and are ultimately degraded to enable the next round of transcription. The timing of transcriptional events in this feedback loop coincide with, and are controlled by, rhythms in CLK-CYC binding to E-boxes. PER rhythmically binds CLK-CYC to initiate transcriptional repression, and subsequently promotes the removal of CLK-CYC from E-boxes. However, little is known about the mechanism by which CLK-CYC is removed from DNA. Previous studies demonstrated that the transcription repressor CLOCKWORK ORANGE (CWO) contributes to core feedback loop function by repressing per and tim transcription in cultured S2 cells and in flies. Here we show that CWO rhythmically binds E-boxes upstream of core clock genes in a reciprocal manner to CLK, thereby promoting PER-dependent removal of CLK-CYC from E-boxes, and maintaining repression until PER is degraded and CLK-CYC displaces CWO from E-boxes to initiate transcription. These results suggest a model in which CWO co-represses CLK-CYC transcriptional activity in conjunction with PER by competing for E-box binding once CLK-CYC-PER complexes have formed. Given that CWO orthologs DEC1 and DEC2 also target E-boxes bound by CLOCK-BMAL1, a similar mechanism may operate in the mammalian clock.","Circadian clocks control daily rhythms in animal, plant and fungal physiology, metabolism and behavior via transcriptional feedback loops. In Drosophila, the CLOCK-CYCLE ( CLK-CYC) activator complex binds E-box regulatory sequences to initiate transcription of hundreds of effector genes including their own repressors, PERIOD ( PER) and TIMELESS ( TIM) , which feed back to repress CLK-CYC until they are degraded, thus allowing another cycle of CLK-CYC activation. Although the repression process is critical for the stability and accuracy of circadian timekeeping, how PER-TIM complexes maintain a transcriptionally repressed state for many hours is not well understood. Here we demonstrate that the transcription factor CLOCKWORK ORANGE ( CWO) antagonizes CLK-CYC E-box binding, thus enhancing the removal of CLK-CYC from E-boxes to maintain transcriptional repression. This process requires PER, which suggests that PER-TIM and CWO cooperate to maintain a transcriptionally repressed state by removing CLK-CYC from E-boxes. These results demonstrate that PER-TIM requires CWO to effectively repress circadian transcription, and given that circadian transcriptional regulators are well conserved, this mechanism may function to repress transcription in other animals including humans.","the transcription repressor CLOCKWORK ORANGE (CWO) contributes to core feedback loop function by promoting repression until PER is degraded and CLK-CYC displaces CWO from E-boxes to initiate transcription . here we show that CWO rhythmically binds C-box elements upstream of core clock genes in a reciprocal manner to CLK , thereby promoting the removal of PER from a core clock gene . a similar mechanism may operate in the mammalian clock . this model suggests a model in which CWO co-represses PER-dependent removal of CLK from E"
"Icosahedral viruses are under a micrometer in diameter, their infectious genome encapsulated by a shell assembled by a multiscale process, starting from an integer multiple of 60 viral capsid or coat protein (VP) monomers. We predict and validate inter-atomic hotspot interactions between VP monomers that are important for the assembly of 3 types of icosahedral viral capsids: Adeno Associated Virus serotype 2 (AAV2) and Minute Virus of Mice (MVM) , both T = 1 single stranded DNA viruses, and Bromo Mosaic Virus (BMV) , a T = 3 single stranded RNA virus. Experimental validation is by in-vitro, site-directed mutagenesis data found in literature. We combine ab-initio predictions at two scales: at the interface-scale, we predict the importance (cruciality) of an interaction for successful subassembly across each interface between symmetry-related VP monomers; and at the capsid-scale, we predict the cruciality of an interface for successful capsid assembly. At the interface-scale, we measure cruciality by changes in the capsid free-energy landscape partition function when an interaction is removed. The partition function computation uses atlases of interface subassembly landscapes, rapidly generated by a novel geometric method and curated opensource software EASAL (efficient atlasing and search of assembly landscapes) . At the capsid-scale, cruciality of an interface for successful assembly of the capsid is based on combinatorial entropy. Our study goes all the way from resource-light, multiscale computational predictions of crucial hotspot inter-atomic interactions to validation using data on site-directed mutagenesis' effect on capsid assembly. By reliably and rapidly narrowing down target interactions, (no more than 1. 5 hours per interface on a laptop with Intel Core i5-2500K @ 3. 2 Ghz CPU and 8GB of RAM) our predictions can inform and reduce time-consuming in-vitro and in-vivo experiments, or more computationally intensive in-silico analyses.","Viruses, found in all classes of living orgaisms, can be beneficial as well as harmful to their hosts. Understanding their mechanism of assembly is critical to understanding how we can inhibit or enhance their life cycle process. Icosahedral viral capsids, as elucidated by Caspar and Klug, are self-assembled from nearly identical viral capsid or coat-protein ( VP) monomers spontaneously and rapidly, with high efficacy and accuracy, a process sometimes facilitated by other biomolecules. Understanding virus assembly requires identifying crucial VP-VP hotspot interactions whose removal would disrupt the process. We combine a novel geometric method for rapidly atlasing free energy landscapes with a symmetry-based combinatorial method to give a two-scale prediction of hotspot interactions. We validate the predictions for 3 types of viruses, using in-vitro, site-directed mutagenesis' disruptive effects on capsid assembly, found in literature, noting that the biophysical assays for AAV2 were carried out by the Mavis Agbandje-Mckenna's lab contemporaneously with the development of our computational model and prediction. Our predictions are reproducible using our curated opensource software EASAL ( efficient atlasing and search of assembly landscapes) . To the best of our knowledge, prevailing methods for statistical mechanical prediction of hotspot interactions use a single scale, are knowledge-based, are computationally intensive, or have not been validated by in-vitro site directed mutagenesis results.","we predict and validate inter-atomic hotspot interactions between VP monomers that are important for the assembly of 3 types of icosahedral viral capsids : adeno Associated Virus serotype 2 (AAV2) and Minute Virus of Mice (MVM) , both T = 1 single stranded DNA viruses , and Bromo Mosaic Virus (BMV) . we combine ab-initio predictions at two scales: at the interface-scale , we predict the importance (cruciality) of an interaction for successful subassembly across each interface between symmetry-related vs."
"The existence of life in extreme conditions, in particular in extraterrestrial environments, is certainly one of the most intriguing scientific questions of our time. In this report, we demonstrate the use of an innovative nanoscale motion sensor in life-searching experiments in Earth-bound and interplanetary missions. This technique exploits the sensitivity of nanomechanical oscillators to transduce the small fluctuations that characterize living systems. The intensity of such movements is an indication of the viability of living specimens and conveys information related to their metabolic activity. Here, we show that the nanomotion detector can assess the viability of a vast range of biological specimens and that it could be the perfect complement to conventional chemical life-detection assays. Indeed, by combining chemical and dynamical measurements, we could achieve an unprecedented depth in the characterization of life in extreme and extraterrestrial environments.","Significance The quest to find life in extreme and extraterrestrial environments is exciting and touches many research fields. One of the common signatures of life is movement: Even small microorganisms vibrate in response to their metabolic activity. Thus, we have devised a nanomotion detector to study these fluctuations and to associate them to the metabolic activity of the specimens. This technique does not measure the chemical response of life, which would require prior knowledge of the metabolic pathways involved. Instead, it monitors the physical manifestation of any kind of metabolic activity the microorganisms might have. Here, we show how this nanomotion detector can study any living system, paving the way to a complementary approach to the study of life in extreme environments.","the existence of life in extreme conditions, in particular in extraterrestrial environments , is certainly one of the most intriguing scientific questions of our time . in this report , we demonstrate the use of an innovative nanoscale motion sensor in life-searching experiments in Earth-bound and interplanetary missions . this technique exploits the sensitivity of nanomechanical oscillators to transduce the small fluctuations that characterize living systems . the intensity of such movements is an indication of the viability of living specimens and conveys information related to their metabolic activity . here, we show that the nanomotion detector can assess a vast range of biological specimens . by combining chemical and dynamical measurements, we could"
"In mammals, females are born with finite numbers of oocytes stockpiled as primordial follicles. Oocytes are ""reawakened"" via an ovarian-intrinsic process that initiates their growth. The forkhead transcription factor Foxo3 controls reawakening downstream of PI3K-AKT signaling. However, the identity of the presumptive upstream cell surface receptor controlling the PI3K-AKT-Foxo3 axis has been questioned. Here we show that the receptor tyrosine kinase Kit controls reawakening. Oocyte-specific expression of a novel constitutively-active KitD818V allele resulted in female sterility and ovarian failure due to global oocyte reawakening. To confirm this result, we engineered a novel loss-of-function allele, KitL. Kit inactivation within oocytes also led to premature ovarian failure, albeit via a contrasting phenotype. Despite normal initial complements of primordial follicles, oocytes remained dormant with arrested oocyte maturation. Foxo3 protein localization in the nucleus versus cytoplasm explained both mutant phenotypes. These genetic studies provide formal genetic proof that Kit controls oocyte reawakening, focusing future investigations into the causes of primary ovarian insufficiency and ovarian aging.","In mammals, oocyte reawakening controls female fertility, the onset of the menopause, and thus, overall aging. We demonstrate here through complementary genetic experiments that Kit is the upstream receptor regulating oocyte reawakening. Although other cell surface receptors have been proposed as candidates, the data have remained contradictory, and definitive genetic evidence in support of any one receptor has been lacking. We engineered two novel Kit alleles in mice, one an activating ( gain-of-function) mutation, the other an inactivating ( loss-of-function) mutation. These alleles permitted us to conduct elegant genetic experiments whereby Kit was activated or inactivated in the oocytes of newborn mice. The results were complementary and striking. Oocyte-specific Kit activation resulted in female sterility due to reawakening of all oocytes, leading to premature ovarian failure. In contrast, Kit inactivation also led to female sterility and ovarian failure, but through a contrasting and opposite phenotype: a complete failure of primordial follicle reawakening. Additional studies demonstrated that Foxo3, a known regulator of reawakening, was the mediator of both phenotypes, linking our findings to prior discoveries. These complementary genetic experiments thus definitively incriminate Kit as the upstream receptor regulating reawakening.","in mammals, females are born with finite numbers of oocytes stockpiled as primordial follicles . the forkhead transcription factor Foxo3 controls reawakening downstream of PI3K-AKT signaling . however, the identity of the presumptive upstream cell surface receptor controlling the pct-foxo3 axis has been questioned . to confirm this result, we engineered a novel loss-of-function allele, KitL , albeit via a contrasting phenotype . here we show that the receptor tyrosine kinase Kit controls rewaken"
"What is the best way to teach evolution? As microevolution may be configured as a branch of genetics, it being a short conceptual leap from understanding the concepts of mutation and alleles (i. e. , genetics) to allele frequency change (i. e. , evolution) , we hypothesised that learning genetics prior to evolution might improve student understanding of evolution. In the UK, genetics and evolution are typically taught to 14- to 16-y-old secondary school students as separate topics with few links, in no particular order and sometimes with a large time span between. Here, then, we report the results of a large trial into teaching order of evolution and genetics. We modified extant questionnaires to ascertain students' understanding of evolution and genetics along with acceptance of evolution. Students were assessed prior to teaching, immediately post teaching and again after several months. Teachers were not instructed what to teach, just to teach in a given order. Regardless of order, teaching increased understanding and acceptance, with robust signs of longer-term retention. Importantly, teaching genetics before teaching evolution has a significant (p < 0. 001) impact on improving evolution understanding by 7% in questionnaire scores beyond the increase seen for those taught in the inverse order. For lower ability students, an improvement in evolution understanding was seen only if genetics was taught first. Teaching genetics first additionally had positive effects on genetics understanding, by increasing knowledge. These results suggest a simple, minimally disruptive, zero-cost intervention to improve evolution understanding: teach genetics first. This same alteration does not, however, result in a significantly increased acceptance of evolution, which reflects a weak correlation between knowledge and acceptance of evolution. Qualitative focus group data highlights the role of authority figures in determination of acceptance.","What is the best way to teach evolution? We hypothesised that if students know the fundamental concepts of genetics, then this might help them understand evolution better. To evaluate this, we performed a large trial in which pupils in United Kingdom secondary schools were either taught genetics and then evolution or evolution and then genetics. We found that the students being taught genetics first had a 5%-10% improvement in their understanding of evolution, above that shown in the group taught evolution first. The change was seen in both higher- and foundation-ability classes. Indeed, in the foundation classes the genetics-first approach was the only approach that enabled an increase in evolution understanding. Teaching genetics first comes at no cost to genetics understanding ( and may even improve it) . However, the genetics-first approach was no different from the evolution-first approach in helping the acceptance of evolution. Qualitative follow-up studies indicated a major role for authority figures in determining acceptance, potentially explaining the weak correlation between understanding and acceptance. These results suggest a simple, minimally disruptive, zero-cost intervention to improve evolution understanding: teach genetics first.","introduction : microevolution may be configured as a branch of genetics , it being a short conceptual leap from understanding the concepts of mutation and alleles to allele frequency change (i. e. , evolution ) , we hypothesised that learning genetics prior to evolution might improve student understanding of evolution . here, then, we report the results of a large trial into teaching order of evolution and genetics.materials and methods : we modified extant questionnaires to ascertain students' understanding of evolutionary and genes along with acceptance of evolution.results:in the UK, genetics and evolution are typically taught to 14- to 16-y-old"
"DNA-coated colloids can self-assemble into an incredible diversity of crystal structures, but their applications have been limited by poor understanding and control over the crystallization dynamics. To address this challenge, we use microfluidics to quantify the kinetics of DNA-programmed self-assembly along the entire crystallization pathway, from thermally activated nucleation through reaction-limited and diffusion-limited phases of crystal growth. Our detailed measurements of the temperature and concentration dependence of the kinetics at all stages of crystallization provide a stringent test of classical theories of nucleation and growth. After accounting for the finite rolling and sliding rates of micrometer-sized DNA-coated colloids, we show that modified versions of these classical theories predict the absolute nucleation and growth rates with quantitative accuracy. We conclude by applying our model to design and demonstrate protocols for assembling large single crystals with pronounced structural coloration, an essential step in creating next-generation optical metamaterials from colloids.","Significance Assembling optical metamaterials from DNA-coated colloids has been a central goal of programmable self-assembly for decades. Despite significant advances in expanding the structural diversity of colloidal crystals, a lack of understanding of the crystallization pathways has hindered the realization of programmable metamaterials. In this paper, we combine experiments and theory to develop a complete understanding of the crystallization dynamics. We show that the nucleation and growth kinetics of DNA-coated colloids are fundamentally different from those of atoms or small molecules, owing to an effective friction that arises from transient DNA hybridization. By incorporating this effective friction into classical theories, we predict the absolute rates of nucleation and growth with quantitative accuracy, enabling the design of protocols for making photonic crystals.","DNA-coated colloids can self-assemble into an incredible diversity of crystal structures , but their applications have been limited by poor understanding and control over the crystallization dynamics . to address this challenge, we use microfluidics to quantify the kinetics of DNA-programmed self-assembly along the entire crystallisation pathway , from thermally activated nucleation through reaction-limited and diffusion-limited phases of crystal growth . we show that modified versions of these classical theories predict the absolute nucleations and growth rates with quantitative accuracy . after accounting for the finite rolling and sliding rates of micrometer-sized DNA-sized colloids , we demonstrate that modified"
"Treatment with broadly neutralizing antibodies (bNAbs) has proven effective against HIV-1 infections in humanized mice, non-human primates, and humans. Due to the high mutation rate of HIV-1, resistance testing of the patient's viral strains to the bNAbs is still inevitable. So far, bNAb resistance can only be tested in expensive and time-consuming neutralization experiments. Here, we introduce well-performing computational models that predict the neutralization response of HIV-1 to bNAbs given only the envelope sequence of the virus. Using non-linear support vector machines based on a string kernel, the models learnt even the important binding sites of bNAbs with more complex epitopes, i. e. , the CD4 binding site targeting bNAbs, proving thereby the biological relevance of the models. To increase the interpretability of the models, we additionally provide a new kind of motif logo for each query sequence, visualizing those residues of the test sequence that influenced the prediction outcome the most. Moreover, we predicted the neutralization sensitivity of around 34, 000 HIV-1 samples from different time points to a broad range of bNAbs, enabling the first analysis of HIV resistance to bNAbs on a global scale. The analysis showed for many of the bNAbs a trend towards antibody resistance over time, which had previously only been discovered for a small non-representative subset of the global HIV-1 population.","Several sequence-based approaches exist to predict the epitope of broadly neutralizing antibodies ( bNAbs) against HIV based on the correlation between variation in the viral sequence and neutralization response to the antibody. Though the potential epitope sites can be used to predict the neutralization response, the methods are not optimized for the task, using additional structural information, additional preselection steps to identify the epitope sites, and assuming independence and/or only linear relationship between the potential sites and the neutralization response. To model also the neutralization response to bNAbs with more complex binding sites, including for example several non-consecutive residues or accompanying conformational changes, we used non-linear, multivariate machine learning techniques. Though we used only the viral sequence information, the models learnt the corresponding binding sites of the bNAbs. In general only few residues were learnt to be responsible for a change in neutralization response, which can additionally reduce the sequencing cost for application in clinical routine. We propose our tailored models to aid the patient selection process for current clinical trials for bNAb immunotherapy, but also as a basis to predict the best combinations of bNAbs, which will be required for routine clinical practice in the future.","background : treatment with broadly neutralizing antibodies ( bNAbs) has proven effective against HIV-1 infections in humanized mice, non-human primates, and humans . due to the high mutation rate of HIV-1, resistance testing of the patient's viral strains to the bnabs is still inevitable . here , we introduce well-performing computational models that predict the neutralization response of the virus given only the envelope sequence of the viral strain . utilizing non-linear support vector machines based on a string kernel, the models learnt even the important binding sites of bannabs with more complex epitopes , i. e.,"
"Organic electrosynthesis can transform the chemical industry by introducing electricity-driven processes that are more energy efficient and that can be easily integrated with renewable energy sources. However, their deployment is severely hindered by the difficulties of controlling selectivity and achieving a large energy conversion efficiency at high current density due to the low solubility of organic reactants in practical electrolytes. This control can be improved by carefully balancing the mass transport processes and electrocatalytic reaction rates at the electrode diffusion layer through pulsed electrochemical methods. In this study, we explore these methods in the context of the electrosynthesis of adiponitrile (ADN) , the largest organic electrochemical process in industry. Systematically exploring voltage pulses in the timescale between 5 and 150 ms led to a 20% increase in production of ADN and a 250% increase in relative selectivity with respect to the state-of-the-art constant voltage process. Moreover, combining this systematic experimental investigation with artificial intelligence (AI) tools allowed us to rapidly discover drastically improved electrosynthetic conditions, reaching improvements of 30 and 325% in ADN production rates and selectivity, respectively. This powerful AI-enhanced experimental approach represents a paradigm shift in the design of electrified chemical transformations, which can accelerate the deployment of more sustainable electrochemical manufacturing processes.","Significance The electrification of chemical manufacturing can enable the integration of renewable electricity sources into a sustainable chemical industry. The combined experimental and artificial intelligence-enabled approach discussed in this work represents a paradigm shift in the electrosynthesis field and can help accelerate the industry's transformation. The strategy that we present improves reaction selectivity ( by 325%) and production rates ( by 30%) for the largest organic electrochemical process in industry, the electrosynthesis of adiponitrile ( ADN) . These advances are achieved by carefully tuning the electrochemical environment around the electrocatalyst surface and implementing data-driven models to rapidly elucidate optimal reaction conditions unpredictable by existing physical models. Although this approach was demonstrated for ADN production, it can serve as a universal model for sustainable electrosynthesis development.","the electrosynthesis of adiponitrile (ADN ) , the largest organic electrochemical process in industry , is a paradigm shift in the design of electrified chemical transformations , which can accelerate the deployment of more sustainable electrochemical manufacturing processes . in this study , we explore these methods in the context of electrosynthesis and electrocatalytic reaction rates at the electrode diffusion layer through pulsed electrochemical methods . combining this systematic experimental investigation with artificial intelligence tools allowed us to rapidly discover drastically improved electrosynthetic conditions , reaching improvements of 30 and 325% in ADN production rates and selectivity , respectively . this powerful AI-enhanced experimental approach represents"
"Taenia solium taeniosis/cysticercosis is a parasitic infection occurring in many developing countries. Data on the status of human infections in Zambia is largely lacking. We conducted a community-based study in Eastern Zambia to determine the prevalence of human taeniosis and cysticercosis in a rural community. Stool and serum samples were collected from willing participants. Geographical references of the participants' households were determined and household questionnaires administered. Taeniosis was diagnosed in stool samples by coprology and by the polyclonal antibody-based copro-antigen enzyme-linked immunosorbent assay (copro-Ag ELISA) , while cysticercosis was diagnosed in serum by the B158/B60 monoclonal antibody-based antigen ELISA (sero-Ag ELISA) . Identification of the collected tapeworm after niclosamide treatment and purgation was done using polymerase chain reaction-restriction fragment length polymorphism (PCR-RFLP) . A total of 255 households from 20 villages participated in the study, 718 stool and 708 serum samples were collected and examined. Forty-five faecal samples (6. 3%) were found positive for taeniosis on copro-Ag ELISA while circulating cysticercus antigen was detected in 5. 8% (41/708) individuals. The tapeworm recovered from one of the cases was confirmed to be T. solium on PCR-RFLP. Seropositivity (cysticercosis) was significantly positively related to age (p = 0. 00) and to copro-Ag positivity (taeniosis) (p = 0. 03) but not to gender. Change point analysis revealed that the frequency of cysticercus antigens increased significantly in individuals above the age of 30. Copro-Ag positivity was not related to age or gender. The following risk factors were noted to be present in the study community: free-range pig husbandry system and poor sanitation with 47. 8% of the households visited lacking latrines. This study has recorded high taeniosis and cysticercosis prevalences and identified the need for further studies on transmission dynamics and impact of the disease on the local people.","Taenia solium taeniosis/cysticercosis is a zoonotic infection endemic in many developing countries, with humans as the definitive host ( taeniosis) and pigs and humans as the intermediate hosts ( cysticercosis) . When humans act as the intermediate host, the result can be neurocysticercosis, which is associated with acquired epilepsy, considerable morbidity and even mortality. In Africa, most studies have been carried out in pigs with little or no data in humans available. In this human study, conducted in a rural community in Eastern Zambia, prevalences for taeniosis and cysticercosis were determined at 6. 3% and 5. 8% respectively, indicating the hyperendemicity of the area. Cysticercosis infection was strongly related with age, with a significant increase in prevalence occurring in individuals from the age of 30 onward. A collected tapeworm was confirmed to be T. solium. Risk factors associated with the transmission and maintenance of the parasite such as free roaming pigs, households without latrines, backyard slaughter of pigs without inspection and consumption of undercooked pork were also present. The findings of this work have identified the need for further research in the transmission dynamics and the burden that this infection has on the resources of poor local people.","backgroundtaenia solium taeniosis/cysticercosis is a parasitic infection occurring in many developing countries . we conducted a community-based study in eastern Zambia to determine the prevalence of human etiology and cysticercus in a rural community.methodsa total of 255 households from 20 villages participated in the study, 718 stool and 708 serum samples were collected and examined.resultsthe tapeworm recovered from one of the cases was confirmed to be T. solium on polyclonal antibody-based copro-antigen enzyme-linked immunosorbent assay (copro-Ag "
"Gallium is a semi-metallic element known since the 1930s to have antimicrobial activity. This activity stems primarily from gallium's ability to mimic trivalent iron and disrupt specific Fe(III) -dependent pathways, particularly DNA synthesis (due to inhibition of ribonucleotide reductase) . Because of its novel mechanism of action, gallium is currently being investigated as a new antibacterial agent, particularly in light of the increasing resistance of many pathogenic bacteria to existing antibiotics. Gallium maltolate (GaM) is being developed as an orally and topically administrable form of gallium. Yaws is a neglected tropical disease affecting mainly the skin and skeletal system of children in underprivileged settings. It is currently the object of a WHO-promoted eradication campaign using mass administration of the macrolide azithromycin, an antibiotic to which the yaws agent Treponema pallidum subsp. pertenue has slowly begun to develop genetic resistance. Because yaws transmission is mainly due to direct skin contact with an infectious skin lesion, we evaluated the treponemicidal activity of GaM applied topically to skin lesions in a rabbit model of yaws. Treatment efficacy was evaluated by measuring lesion diameter, treponemal burden in lesion aspirates as determined by dark field microscopy and amplification of treponemal RNA, serology, and immunohistochemistry of biopsied tissue samples. Our results show that topical GaM was effective in reducing treponemal burden in yaws experimental lesions, particularly when applied at the first sign of lesion appearance but, as expected, did not prevent pathogen dissemination. Early administration of GaM to yaws lesions could reduce the infectivity of the lesions and thus yaws transmission, potentially contributing to current and future yaws control campaigns.","Yaws is a neglected tropical disease affecting children in underprivileged countries, transmitted through direct skin contact with an active lesion. This infection, although rarely fatal, can lead to disfigurement and serious disability. The World Health Organization is currently conducting a yaws eradication effort that employs mass administration of azithromycin, an antibiotic against which the yaws pathogen has slowly begun to develop genetic resistance. Because this phenomenon has the potential to undermine the eradication effort, we investigated the antimicrobial activity of gallium maltolate, which has a novel mechanism of action, against the yaws pathogen. Our initial results show that topical application of gallium maltolate has significant treponemicidal activity, and suggest that this compound might find an application in the effort to eradicate yaws. Future studies will evaluate whether oral administration of gallium maltolate is as effective as the antibiotics currently approved for yaws treatment to clear systemic infection.","yaws is a neglected tropical disease affecting mainly the skin and skeletal system of children in underprivileged settings . we evaluated the treponemicidal activity of topical gallium maltolate (GaM) applied topically to skin lesions in a rabbit model of yanwas . the treatment efficacy was evaluated by measuring lesion diameter and refractory burden in lesion aspirates as determined by dark field microscopy and amplification of TREponemal RNA, serology, and immunohistochemistry of biopsied tissue samples . our results show that topical GaM was effective in "
